Feature,Stability,Gini,SHAP
CCDC80,1.0,0.07302738517980091,0.04400280521390914
WASF1,1.0,0.0660433521378692,0.04076870089827663
GPC5,1.0,0.05548347703348634,0.03607505966247935
NEFL,1.0,0.045740126363387555,0.02492801346839741
SMAD1,0.8,0.02902087296884854,0.019931454425624336
MAPT,1.0,0.033266308542605275,0.018343957828583012
SIGLEC7,1.0,0.029021433846037892,0.017355908420366672
SRC,1.0,0.03179533619735128,0.016283825804543104
FOSB,0.8,0.030031309472966623,0.016187286536175127
CAMKK1,1.0,0.031855776429196916,0.015661261685804305
METAP1D,0.8,0.027075505584083545,0.015248705738912465
IL12,0.6,0.023418917823500515,0.013133351822787888
PPP3R1,1.0,0.02403105088719178,0.011965436667635306
MAP2K6,1.0,0.020973116753132605,0.01132923971569858
CYR61,1.0,0.022118407205139086,0.010042097416550478
FKBP5,1.0,0.01886444780347509,0.00947646496547053
OPG,0.8,0.017678044569841476,0.009249854999121213
IL7,0.6,0.016430905843156235,0.009138940265909784
ENTPD2,0.6,0.017524612636577713,0.008938979200008199
PVALB,0.6,0.01644175677966365,0.008839354790266735
WISP-1,0.6,0.013014491845172213,0.008340401294028731
SCAMP3,1.0,0.019687633926367503,0.008233801392136246
CRIP2,1.0,0.01650991913496424,0.006966666933035781
FHIT,0.6,0.01576487696807304,0.006950247690275336
FR-alpha,1.0,0.014942846881882976,0.006907415507544259
TNFSF13,0.6,0.014916830729667667,0.0067310984171375455
OPTC,0.8,0.012572493213310776,0.006251405734143608
IL8,1.0,0.01275822733785972,0.006023575039053795
PTS,0.6,0.015915077187691522,0.005955832462100981
PSMA1,0.6,0.011418805816484886,0.0057727898149409
CXCL13,0.8,0.01338361041827538,0.00550270774669495
ADGRG1,0.6,0.008497230633722016,0.004775106497779858
NDRG1,0.6,0.010904427836858263,0.004760900071870767
5'-NT,0.8,0.013377391287401435,0.004756314026958459
AGR2,0.6,0.010970408750053789,0.004717875376562733
EIF4B,0.6,0.010382450109095337,0.004562653316215192
ANXA1,1.0,0.008816379417733255,0.004353050373007465
HSP 27,0.6,0.00829808594411758,0.0037148916176587003
ICA1,0.8,0.01108150070475504,0.003709969811708703
HMOX2,0.6,0.010549611538812944,0.0036819678074574177
