Feature,Stability,Gini,SHAP
HDGF,1.0,0.09556990723971091,0.05832323624334821
APEX1,1.0,0.09356785252008856,0.05347201275657175
FOSB,1.0,0.07181767184098771,0.04564762012175084
PARP-1,1.0,0.06996136734479294,0.039039061235285735
PSIP1,1.0,0.0663799988216461,0.03626427708804984
HEXIM1,1.0,0.05140478688806854,0.025872094513095335
PAG1,1.0,0.04180487699410875,0.019088990247955195
SRP14,1.0,0.03135535932917567,0.014825475659614543
MAD1L1,1.0,0.024288734578855935,0.013134765152203071
THOP1,1.0,0.02617875549037584,0.012913016692658496
FKBP4,1.0,0.02559436656743136,0.011628459901552212
ALDH1A1,1.0,0.021732332834640083,0.011531312117043857
GPC5,1.0,0.019319393152513978,0.010863191311267218
EIF4G1,1.0,0.02293195975042549,0.010777076536759479
CCDC80,1.0,0.01634913353283967,0.010191746831465679
PFDN2,0.6,0.016045415320182776,0.009573292500946124
NEFL,1.0,0.017296404933369036,0.009452759087992191
RBKS,1.0,0.018582450505912694,0.007774353152294755
ENO2,1.0,0.017389604366013375,0.00675908549928414
ILKAP,1.0,0.011163941527020587,0.00640324784224233
LTA4H,0.6,0.011815183349024197,0.0059636108387047
PPP3R1,0.8,0.013674455816911662,0.005916729833551693
4E-BP1,1.0,0.014300983147244688,0.005460875752655422
SIGLEC7,0.6,0.00850411113062647,0.005435827680718153
PRDX5,1.0,0.007465133390199373,0.005282054395337621
TOP2B,0.8,0.01090096349089374,0.005279883694116116
MAPT,1.0,0.01259928839899864,0.00489569454941867
CBL,0.8,0.00898921862075042,0.004643767843016759
STAMBP,0.6,0.00994328408637332,0.004572736383678487
CRKL,1.0,0.011056692948599626,0.004523244466410614
MGMT,1.0,0.008890839890963627,0.004319220190770771
SOD2,1.0,0.010851885261442205,0.00411746059549185
HMOX2,0.8,0.011075033965204862,0.003979066217086811
DDC,0.8,0.007569191855974172,0.0037941827434868863
NQO2,0.8,0.006734951571958244,0.003356402719605453
PPP1R2,0.8,0.010092265461805016,0.0032797495487850814
ARHGEF12,1.0,0.008194686367236446,0.0031126887773292
GLO1,1.0,0.006834187986558002,0.0030610849007696134
MetAP 2,1.0,0.006501457368269461,0.0029679708098835434
METAP1D,0.8,0.005908316165003301,0.0029103938675154603
WWP2,1.0,0.00819275133414698,0.002883988538744502
PRDX3,1.0,0.0052197874063630405,0.002556392028004475
DFFA,0.8,0.006357183758191295,0.0023119355318767304
CAIX,1.0,0.005126434026861767,0.0023025876352968785
ABL1,1.0,0.005629642160400435,0.0022040433232385194
SRPK2,1.0,0.006304189821759104,0.0020802755515545337
PPP1R9B,0.8,0.004511558175420535,0.001977535375141876
GLRX,1.0,0.0057929966252895145,0.0018553482581234182
CA13,1.0,0.004315193376055407,0.0016986524451692076
BAG6,0.6,0.00587878030543306,0.0014778721109059668
LYN,0.6,0.003907253515117053,0.0014287677876961532
