nodeName	altName	nodeAttr[nodesPresent, ]
5'-NT	NA	brown
ADAM-TS.15	NA	brown
ANXA1	NA	brown
CCL25	NA	brown
CD160	NA	brown
CD27	NA	brown
CD48	NA	brown
CEACAM1	NA	brown
CPE	NA	brown
CTSV	NA	brown
CXCL10	NA	brown
CXCL13	NA	brown
CYR61	NA	brown
DLL1	NA	brown
EPHA2	NA	brown
ERBB2	NA	brown
ERBB3	NA	brown
ERBB4	NA	brown
ESM-1	NA	brown
FASLG	NA	brown
FR-alpha	NA	brown
FR-gamma	NA	brown
FURIN	NA	brown
GPC1	NA	brown
Gal-1	NA	brown
ICOSLG	NA	brown
IFN-gamma-R1	NA	brown
IGF1R	NA	brown
ITGAV	NA	brown
ITGB5	NA	brown
KLK13	NA	brown
LY9	NA	brown
LYPD3	NA	brown
MAD.homolog.5	NA	brown
MIA	NA	brown
MK	NA	brown
MSLN	NA	brown
PODXL	NA	brown
PPY	NA	brown
PVRL4	NA	brown
RET	NA	brown
RSPO3	NA	brown
S100A4	NA	brown
SEZ6L	NA	brown
SPARC	NA	brown
SYND1	NA	brown
TFPI-2	NA	brown
TGFR-2	NA	brown
TLR3	NA	brown
TNFRSF19	NA	brown
TNFRSF4	NA	brown
TNFRSF6B	NA	brown
TNFSF13	NA	brown
VEGFR-2	NA	brown
WFDC2	NA	brown
WIF-1	NA	brown
WISP-1	NA	brown
hK11	NA	brown
hK14	NA	brown
hK8	NA	brown
