nodeName	altName	nodeAttr[nodesPresent, ]
ADA	NA	turquoise
ADAM.22	NA	turquoise
ADAM.23	NA	turquoise
ADAM15	NA	turquoise
ADGRB3	NA	turquoise
ADGRG1	NA	turquoise
AMIGO2	NA	turquoise
APLP1	NA	turquoise
AREG	NA	turquoise
ARSB	NA	turquoise
Alpha-2-MRAP	NA	turquoise
BAMBI	NA	turquoise
BCAN	NA	turquoise
BCL2L11	NA	turquoise
BMP-4	NA	turquoise
BST2	NA	turquoise
BTN3A2	NA	turquoise
CA14	NA	turquoise
CADM3	NA	turquoise
CD200	NA	turquoise
CD200R1	NA	turquoise
CD302	NA	turquoise
CD33	NA	turquoise
CD38	NA	turquoise
CD83	NA	turquoise
CD8A	NA	turquoise
CDCP1	NA	turquoise
CDH15	NA	turquoise
CDH6	NA	turquoise
CDNF	NA	turquoise
CFC1	NA	turquoise
CKAP4	NA	turquoise
CLEC1A	NA	turquoise
CLEC7A	NA	turquoise
CLSTN1	NA	turquoise
CLSTN3	NA	turquoise
CNTN5	NA	turquoise
CNTNAP2	NA	turquoise
COL4A1	NA	turquoise
CPA2	NA	turquoise
CPM	NA	turquoise
CRH	NA	turquoise
CRIP2	NA	turquoise
CRISP2	NA	turquoise
CRTAM	NA	turquoise
CSF-1	NA	turquoise
CST5	NA	turquoise
CTSC	NA	turquoise
CTSS	NA	turquoise
CX3CL1	NA	turquoise
CXADR	NA	turquoise
DCBLD2	NA	turquoise
DDR1	NA	turquoise
DNER	NA	turquoise
DPP10	NA	turquoise
DPP6	NA	turquoise
DRAXIN	NA	turquoise
EDA2R	NA	turquoise
EFNA4	NA	turquoise
EGFL7	NA	turquoise
ENTPD2	NA	turquoise
ENTPD6	NA	turquoise
EPHA10	NA	turquoise
EPHB6	NA	turquoise
FAM19A5	NA	turquoise
FGF-19	NA	turquoise
FGF-5	NA	turquoise
FGFR2	NA	turquoise
FLRT2	NA	turquoise
GALNT10	NA	turquoise
GALNT2	NA	turquoise
GCNT1	NA	turquoise
GDF-8	NA	turquoise
GDNFR-alpha-3	NA	turquoise
GFR-alpha-1	NA	turquoise
GFRA2	NA	turquoise
GGT5	NA	turquoise
GLB1	NA	turquoise
GM-CSF-R-alpha	NA	turquoise
GZMA	NA	turquoise
HGF	NA	turquoise
HS3ST3B1	NA	turquoise
HS6ST1	NA	turquoise
IFNLR1	NA	turquoise
IGSF3	NA	turquoise
IL-10RB	NA	turquoise
IL-12B	NA	turquoise
IL-18R1	NA	turquoise
IL12	NA	turquoise
IL15	NA	turquoise
IL17RB	NA	turquoise
ISLR2	NA	turquoise
ITM2A	NA	turquoise
JAM-B	NA	turquoise
KAZALD1	NA	turquoise
KIRREL2	NA	turquoise
KLRD1	NA	turquoise
LAIR-2	NA	turquoise
LAYN	NA	turquoise
LIF-R	NA	turquoise
LRRN1	NA	turquoise
LTBP3	NA	turquoise
MANF	NA	turquoise
MATN3	NA	turquoise
MCP-2	NA	turquoise
MDGA1	NA	turquoise
MMP-1	NA	turquoise
N-CDase	NA	turquoise
N2DL-2	NA	turquoise
NAAA	NA	turquoise
NBL1	NA	turquoise
NCAN	NA	turquoise
NDRG1	NA	turquoise
NEP	NA	turquoise
NPPC	NA	turquoise
NRP2	NA	turquoise
NTRK2	NA	turquoise
NTRK3	NA	turquoise
NUCB2	NA	turquoise
NXPH1	NA	turquoise
Nr-CAM	NA	turquoise
PAR-1	NA	turquoise
PCDH17	NA	turquoise
PD-L1	NA	turquoise
PDGF-R-alpha	NA	turquoise
PLXDC1	NA	turquoise
PLXNA4	NA	turquoise
PLXNB1	NA	turquoise
PLXNB3	NA	turquoise
PODXL2	NA	turquoise
PON2	NA	turquoise
PRTG	NA	turquoise
PTH1R	NA	turquoise
PVR	NA	turquoise
RGMA	NA	turquoise
RGMB	NA	turquoise
ROBO2	NA	turquoise
RSPO1	NA	turquoise
SCARA5	NA	turquoise
SCARB2	NA	turquoise
SCARF2	NA	turquoise
SEZ6L2	NA	turquoise
SFRP1	NA	turquoise
SIGLEC1	NA	turquoise
SIRT2	NA	turquoise
SKR3	NA	turquoise
SLITRK2	NA	turquoise
SLITRK6	NA	turquoise
SMOC1	NA	turquoise
SMOC2	NA	turquoise
SMPD1	NA	turquoise
SORCS2	NA	turquoise
SPOCK1	NA	turquoise
SPRY2	NA	turquoise
ST3GAL1	NA	turquoise
STX8	NA	turquoise
TDGF1	NA	turquoise
TGF-alpha	NA	turquoise
TMPRSS5	NA	turquoise
TN-R	NA	turquoise
TNFRSF13C	NA	turquoise
TNFRSF21	NA	turquoise
TNFRSF9	NA	turquoise
TRAIL	NA	turquoise
TWEAK	NA	turquoise
UNC5C	NA	turquoise
VEGFA	NA	turquoise
VWC2	NA	turquoise
gal-8	NA	turquoise
uPA	NA	turquoise
