nodeName	altName	nodeAttr[nodesPresent, ]
4E-BP1	NA	blue
AARSD1	NA	blue
ABHD14B	NA	blue
ABL1	NA	blue
AHCY	NA	blue
AKT1S1	NA	blue
ALDH1A1	NA	blue
ANXA11	NA	blue
APEX1	NA	blue
ARHGEF12	NA	blue
BAG6	NA	blue
BGN	NA	blue
CA13	NA	blue
CAIX	NA	blue
CALR	NA	blue
CAMKK1	NA	blue
CAPG	NA	blue
CASP-8	NA	blue
CBL	NA	blue
CCDC80	NA	blue
CCL23	NA	blue
CCL3	NA	blue
CCL4	NA	blue
CD2AP	NA	blue
CD40	NA	blue
CD63	NA	blue
CD84	NA	blue
CDKN1A	NA	blue
CETN2	NA	blue
CLEC5A	NA	blue
CLM-1	NA	blue
CLM-6	NA	blue
CRADD	NA	blue
CRKL	NA	blue
CXCL1	NA	blue
DCTN1	NA	blue
DCTN2	NA	blue
DDAH1	NA	blue
DDC	NA	blue
DFFA	NA	blue
DNAJB1	NA	blue
Dkk-4	NA	blue
EIF4B	NA	blue
EIF4G1	NA	blue
ENO2	NA	blue
EZR	NA	blue
FBP1	NA	blue
FCAR	NA	blue
FHIT	NA	blue
FKBP4	NA	blue
FKBP5	NA	blue
FOSB	NA	blue
GCP5	NA	blue
GH	NA	blue
GLO1	NA	blue
GLRX	NA	blue
GPNMB	NA	blue
GSTP1	NA	blue
Gal-9	NA	blue
HAGH	NA	blue
HDGF	NA	blue
HEXIM1	NA	blue
HMOX2	NA	blue
HNMT	NA	blue
ICA1	NA	blue
IL-1ra	NA	blue
IL18	NA	blue
IL8	NA	blue
ILKAP	NA	blue
IMPA1	NA	blue
ING1	NA	blue
JUN	NA	blue
KYNU	NA	blue
LILRA5	NA	blue
LILRB4	NA	blue
LOX-1	NA	blue
LTA4H	NA	blue
LYN	NA	blue
MAD1L1	NA	blue
MAP2K6	NA	blue
MAPT	NA	blue
MCP-1	NA	blue
METAP1D	NA	blue
MGMT	NA	blue
MILR1	NA	blue
MMP-10	NA	blue
MSR1	NA	blue
MetAP.2	NA	blue
NAA10	NA	blue
NEFL	NA	blue
NFKBIE	NA	blue
NMNAT1	NA	blue
NPM1	NA	blue
NQO2	NA	blue
OPG	NA	blue
PAG1	NA	blue
PARP-1	NA	blue
PFDN2	NA	blue
PFKM	NA	blue
PHOSPHO1	NA	blue
PIgR	NA	blue
PPP1R2	NA	blue
PPP1R9B	NA	blue
PPP3R1	NA	blue
PRDX1	NA	blue
PRDX3	NA	blue
PRDX5	NA	blue
PRDX6	NA	blue
PREB	NA	blue
PSIP1	NA	blue
PSME1	NA	blue
PTPN1	NA	blue
PTS	NA	blue
PVALB	NA	blue
RBKS	NA	blue
S100A11	NA	blue
SCAMP3	NA	blue
SIGLEC10	NA	blue
SIGLEC7	NA	blue
SLAMF8	NA	blue
SNCG	NA	blue
SOD2	NA	blue
SRC	NA	blue
SRP14	NA	blue
SRPK2	NA	blue
STAMBP	NA	blue
STX6	NA	blue
Siglec-9	NA	blue
TBCB	NA	blue
TDRKH	NA	blue
TGM2	NA	blue
THOP1	NA	blue
TIGAR	NA	blue
TNFRSF11A	NA	blue
TNFRSF12A	NA	blue
TOP2B	NA	blue
TPPP3	NA	blue
TREM1	NA	blue
TXLNA	NA	blue
USP8	NA	blue
WASF1	NA	blue
WWP2	NA	blue
ZBTB16	NA	blue
ZBTB17	NA	blue
hOSCAR	NA	blue
