nodeName	altName	nodeAttr[nodesPresent, ]
ADM	NA	red
AGRP	NA	red
AMBP	NA	red
ANGPT1	NA	red
BMP-6	NA	red
BOC	NA	red
CD4	NA	red
CTSL1	NA	red
DCN	NA	red
Dkk-1	NA	red
FABP2	NA	red
FS	NA	red
Flt3L	NA	red
GIF	NA	red
HB-EGF	NA	red
HO-1	NA	red
HSP.27	NA	red
IL-17D	NA	red
IL-27	NA	red
IL16	NA	red
IL1RL2	NA	red
LPL	NA	red
MARCO	NA	red
MERTK	NA	red
MMP7	NA	red
PAPPA	NA	red
PD-L2	NA	red
PDGF.subunit.B	NA	red
PGF	NA	red
PRELP	NA	red
PRSS27	NA	red
PRSS8	NA	red
PSGL-1	NA	red
RAGE	NA	red
REN	NA	red
SCF	NA	red
SORT1	NA	red
SPON2	NA	red
TF	NA	red
THBS2	NA	red
TIE2	NA	red
TM	NA	red
TNFRSF10A	NA	red
TNFRSF13B	NA	red
TRAIL-R2	NA	red
VEGFD	NA	red
XCL1	NA	red
