nodeName	altName	nodeAttr[nodesPresent, ]
ACP6	NA	green
ADGRE2	NA	green
ANGPT2	NA	green
ANGPTL1	NA	green
ANGPTL7	NA	green
CANT1	NA	green
CD164	NA	green
CD1C	NA	green
CD79B	NA	green
CDH2	NA	green
CHRDL2	NA	green
CLMP	NA	green
CLSTN2	NA	green
CLUL1	NA	green
CTSH	NA	green
CTSO	NA	green
ENTPD5	NA	green
FAM3C	NA	green
FCRL1	NA	green
GAL	NA	green
IGFBPL1	NA	green
KLK10	NA	green
KYAT1	NA	green
LRIG1	NA	green
LRP11	NA	green
MCFD2	NA	green
METRNL	NA	green
NADK	NA	green
NECTIN2	NA	green
NOMO1	NA	green
NPDC1	NA	green
NPTXR	NA	green
NT-proBNP	NA	green
PILRB	NA	green
QDPR	NA	green
REG4	NA	green
RNASE3	NA	green
ROR1	NA	green
RTN4R	NA	green
SDC4	NA	green
SEMA3F	NA	green
SERPINB6	NA	green
SERPINB8	NA	green
SOST	NA	green
SSC4D	NA	green
STC1	NA	green
SUMF2	NA	green
TFF2	NA	green
TINAGL1	NA	green
TXNDC5	NA	green
TYMP	NA	green
TYRO3	NA	green
VCAN	NA	green
