nodeName	altName	nodeAttr[nodesPresent, ]
ACE2	NA	grey
ADAM.8	NA	grey
ADAM-TS13	NA	grey
ADGRG2	NA	grey
AGR3	NA	grey
ALDH3A1	NA	grey
ANXA10	NA	grey
ANXA4	NA	grey
AOC1	NA	grey
APBB1IP	NA	grey
ARG1	NA	grey
ARHGAP1	NA	grey
ARNT	NA	grey
ARTN	NA	grey
ASGR1	NA	grey
ATG4A	NA	grey
ATP6AP2	NA	grey
ATP6V1F	NA	grey
AXIN1	NA	grey
BACH1	NA	grey
BCR	NA	grey
BIRC2	NA	grey
BNP	NA	grey
Beta-NGF	NA	grey
CA12	NA	grey
CA5A	NA	grey
CALCA	NA	grey
CARHSP1	NA	grey
CCL11	NA	grey
CCL17	NA	grey
CCL19	NA	grey
CCL20	NA	grey
CCL27	NA	grey
CCL28	NA	grey
CD207	NA	grey
CD244	NA	grey
CD28	NA	grey
CD40-L	NA	grey
CD5	NA	grey
CD6	NA	grey
CD70	NA	grey
CDH17	NA	grey
CDH3	NA	grey
CDHR5	NA	grey
CDSN	NA	grey
CEACAM3	NA	grey
CEACAM5	NA	grey
CEACAM8	NA	grey
CLEC10A	NA	grey
CLEC1B	NA	grey
CLEC4A	NA	grey
CLEC4C	NA	grey
CLEC4D	NA	grey
CLEC4G	NA	grey
CLEC6A	NA	grey
CNTN2	NA	grey
COL4A3BP	NA	grey
COMT	NA	grey
CPXM1	NA	grey
CRNN	NA	grey
CRX	NA	grey
CTF1	NA	grey
CTRC	NA	grey
CXCL11	NA	grey
CXCL12	NA	grey
CXCL5	NA	grey
CXCL6	NA	grey
CXCL9	NA	grey
CXL17	NA	grey
DAB2	NA	grey
DAPP1	NA	grey
DDX58	NA	grey
DECR1	NA	grey
DEFB4A	NA	grey
DGKZ	NA	grey
DIABLO	NA	grey
DKKL1	NA	grey
DPEP1	NA	grey
DPEP2	NA	grey
DPP7	NA	grey
DSG3	NA	grey
DSG4	NA	grey
DUSP3	NA	grey
ECE1	NA	grey
EDAR	NA	grey
EDIL3	NA	grey
EGF	NA	grey
EGLN1	NA	grey
EIF5A	NA	grey
EN-RAGE	NA	grey
ENPP7	NA	grey
EREG	NA	grey
FADD	NA	grey
FAM3B	NA	grey
FCRL3	NA	grey
FCRL6	NA	grey
FCRLB	NA	grey
FGF-21	NA	grey
FGF-23	NA	grey
FGF-BP1	NA	grey
FGF2	NA	grey
FKBP7	NA	grey
FLI1	NA	grey
FUT8	NA	grey
FXYD5	NA	grey
FcRL2	NA	grey
G-CSF	NA	grey
GALNT3	NA	grey
GBP2	NA	grey
GCG	NA	grey
GDF-2	NA	grey
GDNF	NA	grey
GH2	NA	grey
GHRL	NA	grey
GKN1	NA	grey
GRAP2	NA	grey
GSAP	NA	grey
GT	NA	grey
GZMB	NA	grey
GZMH	NA	grey
HAOX1	NA	grey
HCLS1	NA	grey
HSD11B1	NA	grey
HSP90B1	NA	grey
IDUA	NA	grey
IFI30	NA	grey
IFN-gamma	NA	grey
IFNL1	NA	grey
IKZF2	NA	grey
IL-1.alpha	NA	grey
IL-10RA	NA	grey
IL-15RA	NA	grey
IL-17A	NA	grey
IL-17C	NA	grey
IL-20	NA	grey
IL-20RA	NA	grey
IL-22.RA1	NA	grey
IL-24	NA	grey
IL-2RB	NA	grey
IL-4RA	NA	grey
IL-5R-alpha	NA	grey
IL10	NA	grey
IL12RB1	NA	grey
IL13	NA	grey
IL2	NA	grey
IL32	NA	grey
IL33	NA	grey
IL3RA	NA	grey
