nodeName	altName	nodeAttr[nodesPresent, ]
AGR2	NA	yellow
AIFM1	NA	yellow
AMN	NA	yellow
BANK1	NA	yellow
BID	NA	yellow
BTC	NA	yellow
CES2	NA	yellow
CLSPN	NA	yellow
CSNK1D	NA	yellow
ENAH	NA	yellow
EPO	NA	yellow
ERBB2IP	NA	yellow
FABP9	NA	yellow
FES	NA	yellow
FGR	NA	yellow
FKBP1B	NA	yellow
FOXO1	NA	yellow
HPGDS	NA	yellow
INPPL1	NA	yellow
ITGB1BP1	NA	yellow
KIR3DL1	NA	yellow
LAT2	NA	yellow
LHB	NA	yellow
LRP1	NA	yellow
MAEA	NA	yellow
MAGED1	NA	yellow
MAP4K5	NA	yellow
MAX	NA	yellow
METAP1	NA	yellow
MVK	NA	yellow
NBN	NA	yellow
NCF2	NA	yellow
NOS3	NA	yellow
NUB1	NA	yellow
PDCD1	NA	yellow
PDGFC	NA	yellow
PDP1	NA	yellow
PPM1B	NA	yellow
PRKAB1	NA	yellow
PRKRA	NA	yellow
PSMA1	NA	yellow
PTK7	NA	yellow
PTPRJ	NA	yellow
PXN	NA	yellow
RARRES1	NA	yellow
RASA1	NA	yellow
RASSF2	NA	yellow
RCOR1	NA	yellow
RRM2B	NA	yellow
SERPINA9	NA	yellow
SIRT5	NA	yellow
SMAD1	NA	yellow
STXBP3	NA	yellow
TMPRSS15	NA	yellow
TNNI3	NA	yellow
VASH1	NA	yellow
WAS	NA	yellow
YES1	NA	yellow
