ADM	Dkk-1
ADM	TF
ADM	TNFRSF10A
ADM	TRAIL-R2
BOC	TIE2
Dkk-1	LPL
Dkk-1	PRSS8
Dkk-1	SPON2
Dkk-1	TF
Dkk-1	TIE2
Dkk-1	TNFRSF10A
Dkk-1	TRAIL-R2
LPL	TF
TF	TNFRSF10A
TF	TRAIL-R2
TNFRSF10A	TRAIL-R2
