RGMB	JAM-B	NTRK3	NTRK2	CNTN5	ROBO2	EPHB6	UNC5C	CD200	PVR
RGMA	CDH6	ADGRB3	SCARB2	PLXNB3	EPHA10	VWC2	Alpha-2-MRAP	NXPH1	CLSTN3
ISLR2	gal-8	SPOCK1	DPP10	PDGF-R-alpha	SKR3	PCDH17	PRTG	GFRA2	CNTNAP2	CXADR	SEZ6L2
LRRN1	TNFRSF21	CADM3	FGFR2	MDGA1	SLITRK2	DRAXIN	LAYN	PLXNA4	DCBLD2	GALNT2	MANF	NRP2	TN-R
BMP-4	CLSTN1	CPM	DDR1	PODXL2	DPP6	TWEAK	FAM19A5	FLRT2	GDF-8	IGSF3	N2DL-2	NBL1	PLXNB1
CD302	ENTPD6	BAMBI	CA14	GFR-alpha-1	SMOC2	SORCS2	ADAM15	BCAN	GDNFR-alpha-3	PD-L1	SMPD1
CD38	DNER	EFNA4	LTBP3	TNFRSF13C	AMIGO2	NPPC	VEGFA	KIRREL2	APLP1	CDH15	IL17RB
CD83	EGFL7	SIGLEC1	HS6ST1	ADA	CRH	TGF-alpha	PLXDC1	CFC1	EDA2R	MATN3	NAAA	NUCB2	SCARF2	SMOC1	CTSS	LIF-R	SCARA5	uPA
