Protein,Group_Col,Group1,Group2,Group1_vs_Group2,F_P_Value,Log2_Fold_Change,Beta_Coefficient,Q_Value,Significant
4E-BP1,Group,CJD,CTRL,CJD vs CTRL,5.697548061156497e-10,1.0415843650793652,1.022599815658474,1.8384395970614285e-08,True
5'-NT,Group,CJD,CTRL,CJD vs CTRL,0.0032897190980414113,-0.32457703703703533,-0.35743043221139953,0.024549682782200422,True
AARSD1,Group,CJD,CTRL,CJD vs CTRL,0.0100385454094674,0.20521743386243374,0.20169566911170494,0.05961788890719462,False
ABHD14B,Group,CJD,CTRL,CJD vs CTRL,2.089825144991752e-05,0.2915965740740738,0.28796798402774104,0.0002911871749228018,True
ABL1,Group,CJD,CTRL,CJD vs CTRL,1.7461094804020212e-10,0.8332858862433862,0.8352080650580622,6.297055456472448e-09,True
ACE2,Group,CJD,CTRL,CJD vs CTRL,0.717519339811205,0.02963510582010582,0.01823790762257743,0.8985903737107642,False
ACP6,Group,CJD,CTRL,CJD vs CTRL,0.39450280229986323,-0.0794425661375655,-0.13128397419055204,0.6954628034350607,False
ADA,Group,CJD,CTRL,CJD vs CTRL,0.8497615420590505,0.02401841269841265,0.02639330929904854,0.9515883431051633,False
ADAM 22,Group,CJD,CTRL,CJD vs CTRL,0.29719653146853364,-0.08989378306878315,-0.11648819053236265,0.6064148376354872,False
ADAM 23,Group,CJD,CTRL,CJD vs CTRL,0.0004112282335950365,-0.2761949735449736,-0.3007210470708365,0.004229018092583795,True
ADAM 8,Group,CJD,CTRL,CJD vs CTRL,0.7270637944320545,0.03542888888888879,0.0201855626467137,0.9018374615917193,False
ADAM-TS 15,Group,CJD,CTRL,CJD vs CTRL,0.7126541752549673,0.008764431216931157,-0.033090038138625814,0.8963001067984993,False
ADAM-TS13,Group,CJD,CTRL,CJD vs CTRL,0.3006136933406671,0.05936246031746034,0.057350156680000555,0.6105736839768392,False
ADAM15,Group,CJD,CTRL,CJD vs CTRL,0.7046484831545133,-0.012716653439155401,-0.04406061934780653,0.8926879442574098,False
ADGRB3,Group,CJD,CTRL,CJD vs CTRL,0.04311897459755216,-0.1947138095238099,-0.2303085658185629,0.1823120570517192,False
ADGRE2,Group,CJD,CTRL,CJD vs CTRL,0.9925482567404488,0.0390028306878305,-0.0011200824595265224,0.9980024922750514,False
ADGRG1,Group,CJD,CTRL,CJD vs CTRL,0.6520237362407357,0.11299921957671977,0.055484453605145034,0.8675343970395653,False
ADGRG2,Group,CJD,CTRL,CJD vs CTRL,0.9712461152157827,-0.00581608465608463,-0.0022309957962926424,0.992414299778178,False
ADM,Group,CJD,CTRL,CJD vs CTRL,0.5897588195258112,0.11755306878306904,0.05358445288252389,0.8314505740286195,False
AGR2,Group,CJD,CTRL,CJD vs CTRL,0.8400967240771027,0.012878055555555545,0.01136155558261882,0.9469282995932762,False
AGR3,Group,CJD,CTRL,CJD vs CTRL,0.6729110799605548,0.04432452380952384,0.03192858201407811,0.8778429252404822,False
AGRP,Group,CJD,CTRL,CJD vs CTRL,0.0020151419999126954,0.4497950529100523,0.3958791093873034,0.01633843513662684,True
AHCY,Group,CJD,CTRL,CJD vs CTRL,7.345418188483571e-08,0.7844638624338625,0.7678995527190345,1.6261939711726126e-06,True
AIFM1,Group,CJD,CTRL,CJD vs CTRL,0.32320896618605455,0.06358156084656064,0.06092818032123761,0.630593747981115,False
AKT1S1,Group,CJD,CTRL,CJD vs CTRL,0.0002999925883759999,0.18563968253968244,0.1797422609029656,0.003239757356851923,True
ALDH1A1,Group,CJD,CTRL,CJD vs CTRL,4.2980174153808915e-13,1.3822378835978828,1.3651130796583568,2.3624275034886692e-11,True
ALDH3A1,Group,CJD,CTRL,CJD vs CTRL,0.5476236546727355,0.058943068783068875,0.051739580815171826,0.8056611341949119,False
AMBP,Group,CJD,CTRL,CJD vs CTRL,0.7120871641841859,0.1151329629629636,0.04221267912453334,0.8963001067984993,False
AMIGO2,Group,CJD,CTRL,CJD vs CTRL,0.305081221035465,-0.04548158730158729,-0.056311090080483836,0.6135921565268819,False
AMN,Group,CJD,CTRL,CJD vs CTRL,0.6693470707669724,-0.0307887433862436,-0.02565126883399917,0.8761202420779718,False
ANGPT1,Group,CJD,CTRL,CJD vs CTRL,0.17949120440903948,0.06267894179894284,0.06042048100805508,0.4539313784542321,False
ANGPT2,Group,CJD,CTRL,CJD vs CTRL,0.049202134843915474,-0.18838002645502672,-0.21377303033813344,0.20158541856856335,False
ANGPTL1,Group,CJD,CTRL,CJD vs CTRL,0.03448720690582098,0.27273592592592655,0.23631026526840782,0.15524575209119856,False
ANGPTL7,Group,CJD,CTRL,CJD vs CTRL,0.2551876007360871,0.23342410052909823,0.1901040259452813,0.5558232046874415,False
ANXA1,Group,CJD,CTRL,CJD vs CTRL,0.0034509026302724562,0.3902687169312168,0.36737683604980964,0.02556105386921141,True
ANXA10,Group,CJD,CTRL,CJD vs CTRL,0.11724246304250892,0.07505962962962953,0.07481820046521725,0.3534124169624796,False
