AIFM1	SIRT5
AMN	KIR3DL1
AMN	PDGFC
AMN	RASSF2
BANK1	INPPL1
BANK1	MAEA
BANK1	PDGFC
BANK1	PRKRA
BTC	MAX
BTC	PDGFC
BTC	PRKRA
BTC	RASSF2
INPPL1	MAEA
INPPL1	MAX
INPPL1	PDGFC
INPPL1	PRKRA
INPPL1	RASSF2
INPPL1	RCOR1
INPPL1	RRM2B
INPPL1	SIRT5
ITGB1BP1	KIR3DL1
KIR3DL1	MAEA
KIR3DL1	MAX
KIR3DL1	METAP1
KIR3DL1	PDGFC
KIR3DL1	PRKRA
KIR3DL1	RASSF2
KIR3DL1	SIRT5
LHB	SIRT5
MAEA	MAX
MAEA	METAP1
MAEA	PDGFC
MAEA	PRKRA
MAEA	RASSF2
MAGED1	SIRT5
MAX	METAP1
MAX	PDGFC
MAX	PRKRA
MAX	RASSF2
MAX	SMAD1
METAP1	PDGFC
METAP1	PRKRA
METAP1	RASSF2
NOS3	PDGFC
NOS3	SIRT5
PDGFC	PRKRA
PDGFC	RASSF2
PDGFC	RCOR1
PDGFC	RRM2B
PDGFC	SMAD1
PRKRA	RASSF2
PRKRA	RRM2B
PRKRA	SMAD1
RARRES1	SIRT5
RASSF2	RCOR1
RASSF2	RRM2B
RASSF2	SMAD1
RRM2B	SIRT5
