# Observed cut height: 0.017979747
# Observed size of largest cluster at observed cut height: 5
# Expected size of largest cluster at observed cut height: 1.85
# Observed maximum ratio statistic: 2.703
# Expected maximum ratio statistic: 1.481
# p-value: 0.01
# Clusters:
BANK1	BTC	MAEA	PRKRA	SMAD1
AGR2
AIFM1
AMN
CES2
CSNK1D
FABP9
FGR
HPGDS
INPPL1
ITGB1BP1
KIR3DL1
LHB
LRP1
MAGED1
MAX
METAP1
NOS3
PDCD1
PDGFC
PTPRJ
RARRES1
RASSF2
RCOR1
RRM2B
SIRT5
STXBP3
