CRKL	FKBP4	HMOX2	RBKS	PPP3R1	PAG1	PPP1R2	THOP1	GLO1	ARHGEF12
SRP14	DDAH1	MAPT	TBCB	METAP1D	ABL1	ENO2	MAP2K6	SRPK2	EIF4B	HDGF	HEXIM1
PRDX3	SOD2	EIF4G1	STAMBP	MAD1L1	PSIP1	APEX1	CAMKK1	WWP2	4E-BP1	CRADD	WASF1
PFDN2	BAG6	PHOSPHO1	FOSB	PRDX5	CAIX	PARP-1	GLRX	PFKM	SRC
MGMT	SNCG	TNFRSF11A	ALDH1A1	FHIT	SCAMP3	DFFA	LYN	NEFL	TIGAR
LOX-1	CA13	PPP1R9B	CCL3	CCDC80	ILKAP	CD84	DNAJB1	CLEC5A	Gal-9	PREB
CAPG	USP8	IMPA1	LILRB4	SIGLEC7	FKBP5	GSTP1	MILR1	PIgR	DDC	HAGH	hOSCAR	AHCY	NQO2	PRDX1
